DateId,PK_Date,Date_Name,Year,Year_Name,Half_Year,Half_Year_Name,Quarter,Quarter_Name,Month,Month_Name,Day_Of_Year,Day_Of_Year_Name,Day_Of_Half_Year,Day_Of_Half_Year_Name,Day_Of_Quarter,Day_Of_Quarter_Name,Day_Of_Month,Day_Of_Month_Name,Month_Of_Year,Month_Of_Year_Name,Month_Of_Half_Year,Month_Of_Half_Year_Name,Month_Of_Quarter,Month_Of_Quarter_Name,Quarter_Of_Year,Quarter_Of_Year_Name,Quarter_Of_Half_Year,Quarter_Of_Half_Year_Name,Half_Year_Of_Year,Half_Year_Of_Year_Name
25,1/25/2006 0:00,Wednesday -  January 25 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,25,Day 25,25,Day 25,25,Day 25,25,Day 25,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
26,1/26/2006 0:00,Thursday -  January 26 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,26,Day 26,26,Day 26,26,Day 26,26,Day 26,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
27,1/27/2006 0:00,Friday -  January 27 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,27,Day 27,27,Day 27,27,Day 27,27,Day 27,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
28,1/28/2006 0:00,Saturday -  January 28 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,28,Day 28,28,Day 28,28,Day 28,28,Day 28,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
29,1/29/2006 0:00,Sunday -  January 29 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,29,Day 29,29,Day 29,29,Day 29,29,Day 29,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
30,1/30/2006 0:00,Monday -  January 30 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,30,Day 30,30,Day 30,30,Day 30,30,Day 30,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
31,1/31/2006 0:00,Tuesday -  January 31 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,31,Day 31,31,Day 31,31,Day 31,31,Day 31,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
32,02-01-2006 00:00,Wednesday -  February 01 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,32,Day 32,32,Day 32,32,Day 32,1,Day 1,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
33,02-02-2006 00:00,Thursday -  February 02 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,33,Day 33,33,Day 33,33,Day 33,2,Day 2,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
34,02-03-2006 00:00,Friday -  February 03 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,34,Day 34,34,Day 34,34,Day 34,3,Day 3,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
35,02-04-2006 00:00,Saturday -  February 04 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,35,Day 35,35,Day 35,35,Day 35,4,Day 4,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
36,02-05-2006 00:00,Sunday -  February 05 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,36,Day 36,36,Day 36,36,Day 36,5,Day 5,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
37,02-06-2006 00:00,Monday -  February 06 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,37,Day 37,37,Day 37,37,Day 37,6,Day 6,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
38,02-07-2006 00:00,Tuesday -  February 07 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,38,Day 38,38,Day 38,38,Day 38,7,Day 7,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
39,02-08-2006 00:00,Wednesday -  February 08 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,39,Day 39,39,Day 39,39,Day 39,8,Day 8,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
40,02-09-2006 00:00,Thursday -  February 09 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,40,Day 40,40,Day 40,40,Day 40,9,Day 9,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
41,02-10-2006 00:00,Friday -  February 10 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,41,Day 41,41,Day 41,41,Day 41,10,Day 10,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
42,02-11-2006 00:00,Saturday -  February 11 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,42,Day 42,42,Day 42,42,Day 42,11,Day 11,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
43,02-12-2006 00:00,Sunday -  February 12 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,43,Day 43,43,Day 43,43,Day 43,12,Day 12,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
44,2/13/2006 0:00,Monday -  February 13 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,44,Day 44,44,Day 44,44,Day 44,13,Day 13,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
45,2/14/2006 0:00,Tuesday -  February 14 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,45,Day 45,45,Day 45,45,Day 45,14,Day 14,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
46,2/15/2006 0:00,Wednesday -  February 15 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,46,Day 46,46,Day 46,46,Day 46,15,Day 15,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
47,2/16/2006 0:00,Thursday -  February 16 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,47,Day 47,47,Day 47,47,Day 47,16,Day 16,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
48,2/17/2006 0:00,Friday -  February 17 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,48,Day 48,48,Day 48,48,Day 48,17,Day 17,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
49,2/18/2006 0:00,Saturday -  February 18 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,49,Day 49,49,Day 49,49,Day 49,18,Day 18,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
50,2/19/2006 0:00,Sunday -  February 19 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,50,Day 50,50,Day 50,50,Day 50,19,Day 19,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
51,2/20/2006 0:00,Monday -  February 20 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,51,Day 51,51,Day 51,51,Day 51,20,Day 20,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
52,2/21/2006 0:00,Tuesday -  February 21 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,52,Day 52,52,Day 52,52,Day 52,21,Day 21,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
53,2/22/2006 0:00,Wednesday -  February 22 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,53,Day 53,53,Day 53,53,Day 53,22,Day 22,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
54,2/23/2006 0:00,Thursday -  February 23 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,54,Day 54,54,Day 54,54,Day 54,23,Day 23,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
55,2/24/2006 0:00,Friday -  February 24 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,55,Day 55,55,Day 55,55,Day 55,24,Day 24,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
56,2/25/2006 0:00,Saturday -  February 25 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,56,Day 56,56,Day 56,56,Day 56,25,Day 25,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
57,2/26/2006 0:00,Sunday -  February 26 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,57,Day 57,57,Day 57,57,Day 57,26,Day 26,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
58,2/27/2006 0:00,Monday -  February 27 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,58,Day 58,58,Day 58,58,Day 58,27,Day 27,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
59,2/28/2006 0:00,Tuesday -  February 28 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,02-01-2006 00:00,Feb-06,59,Day 59,59,Day 59,59,Day 59,28,Day 28,2,Month 2,2,Month 2,2,Month 2,1,Quarter 1,1,Quarter 1,1,Semester 1
60,03-01-2006 00:00,Wednesday -  March 01 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,60,Day 60,60,Day 60,60,Day 60,1,Day 1,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
61,03-02-2006 00:00,Thursday -  March 02 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,61,Day 61,61,Day 61,61,Day 61,2,Day 2,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
62,03-03-2006 00:00,Friday -  March 03 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,62,Day 62,62,Day 62,62,Day 62,3,Day 3,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
63,03-04-2006 00:00,Saturday -  March 04 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,63,Day 63,63,Day 63,63,Day 63,4,Day 4,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
64,03-05-2006 00:00,Sunday -  March 05 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,64,Day 64,64,Day 64,64,Day 64,5,Day 5,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
65,03-06-2006 00:00,Monday -  March 06 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,65,Day 65,65,Day 65,65,Day 65,6,Day 6,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
66,03-07-2006 00:00,Tuesday -  March 07 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,66,Day 66,66,Day 66,66,Day 66,7,Day 7,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
67,03-08-2006 00:00,Wednesday -  March 08 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,67,Day 67,67,Day 67,67,Day 67,8,Day 8,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
68,03-09-2006 00:00,Thursday -  March 09 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,68,Day 68,68,Day 68,68,Day 68,9,Day 9,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
69,03-10-2006 00:00,Friday -  March 10 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,69,Day 69,69,Day 69,69,Day 69,10,Day 10,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
70,03-11-2006 00:00,Saturday -  March 11 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,70,Day 70,70,Day 70,70,Day 70,11,Day 11,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
71,03-12-2006 00:00,Sunday -  March 12 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,71,Day 71,71,Day 71,71,Day 71,12,Day 12,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
72,3/13/2006 0:00,Monday -  March 13 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,72,Day 72,72,Day 72,72,Day 72,13,Day 13,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
73,3/14/2006 0:00,Tuesday -  March 14 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,03-01-2006 00:00,Mar-06,73,Day 73,73,Day 73,73,Day 73,14,Day 14,3,Month 3,3,Month 3,3,Month 3,1,Quarter 1,1,Quarter 1,1,Semester 1
